datetime,temperature,pressure,humidity
2018/12/05 01:19:15,22.72 C,1021.74 hPA,53.90 %RH
2018/12/05 01:19:16,22.72 C,1021.74 hPA,53.89 %RH
2018/12/05 01:19:17,22.72 C,1021.73 hPA,53.90 %RH
2018/12/05 01:19:18,22.72 C,1021.72 hPA,53.88 %RH
2018/12/05 01:19:19,22.73 C,1021.72 hPA,53.85 %RH
2018/12/05 01:19:20,22.73 C,1021.72 hPA,53.86 %RH
2018/12/05 01:19:21,22.73 C,1021.72 hPA,53.83 %RH
2018/12/05 01:19:22,22.73 C,1021.72 hPA,53.83 %RH
2018/12/05 01:19:23,22.73 C,1021.72 hPA,53.81 %RH
2018/12/05 01:19:24,22.73 C,1021.72 hPA,53.82 %RH
2018/12/05 01:19:25,22.74 C,1021.72 hPA,53.81 %RH
2018/12/05 01:19:26,22.74 C,1021.72 hPA,53.80 %RH
2018/12/05 01:19:27,22.74 C,1021.71 hPA,53.80 %RH
2018/12/05 01:19:29,22.74 C,1021.71 hPA,53.80 %RH
2018/12/05 01:19:30,22.74 C,1021.72 hPA,53.78 %RH
2018/12/05 01:19:31,22.74 C,1021.72 hPA,53.77 %RH
2018/12/05 01:19:32,22.74 C,1021.72 hPA,53.77 %RH
2018/12/05 01:19:33,22.73 C,1021.72 hPA,53.75 %RH
2018/12/05 01:19:34,22.73 C,1021.72 hPA,53.74 %RH
2018/12/05 01:19:35,22.73 C,1021.72 hPA,53.72 %RH
2018/12/05 01:19:36,22.73 C,1021.72 hPA,53.72 %RH
2018/12/05 01:19:37,22.73 C,1021.72 hPA,53.71 %RH
2018/12/05 01:19:38,22.73 C,1021.73 hPA,53.71 %RH
2018/12/05 01:19:39,22.73 C,1021.73 hPA,53.71 %RH
2018/12/05 01:19:40,22.73 C,1021.72 hPA,53.70 %RH
2018/12/05 01:19:41,22.73 C,1021.72 hPA,53.68 %RH
2018/12/05 01:19:42,22.74 C,1021.72 hPA,53.70 %RH
